,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
130,0,1,60,18.7,34,2.78,747.5,1,0,0,0,0,1,598.4478999729275,-149.05210002707247
131,0,1,19,45.889,49,7.15,644.0,0,1,0,0,0,0,576.7734026730126,-67.22659732698742
132,0,0,30,196.029,141,2.35,1351.25,0,0,1,0,0,0,1711.1231570883342,359.8731570883342
133,1,1,30,103.356,88,9.68,3139.0,0,0,1,0,0,0,1181.837620195753,-1957.162379804247
134,0,1,9,134.738,112,14.18,950.0,1,0,0,0,0,0,755.2859240409983,-194.71407595900166
135,0,1,25,116.733,107,5.88,823.4,0,0,1,0,0,0,757.6799961250457,-65.72000387495427
136,0,1,100,436.1230000000001,363,15.02,5200.0,0,0,0,0,1,1,5218.6022660143735,18.602266014373527
137,0,0,30,42.448,35,0.58,451.0,0,0,1,0,0,0,504.0993079115673,53.09930791156728
138,0,1,12,320.758,229,60.9,1721.55,0,1,0,0,0,0,2598.809434349469,877.2594343494691
139,0,1,37,112.638,107,6.4,725.0,0,0,0,1,0,0,808.767811092543,83.76781109254296
140,1,1,20,131.269,131,10.1,803.0,0,1,0,0,0,0,663.6424689337676,-139.35753106623235
141,0,1,23,32.339,43,36.35,520.0,0,1,0,0,0,0,524.4730647074124,4.473064707412391
142,0,1,34,3.631,6,2.03,220.0,0,0,1,0,0,0,623.1641533530222,403.16415335302224
143,1,1,30,146.731,116,5.22,651.0,0,0,1,0,0,0,859.445907113079,208.445907113079
144,0,0,30,47.621,41,0.68,333.5,0,0,1,0,0,0,559.1654708577665,225.66547085776654
145,0,1,30,60.995,56,3.97,747.5,0,0,1,0,0,0,649.900390918507,-97.59960908149299
146,0,1,20,71.279,62,6.0,489.325,0,1,0,0,0,0,562.1609514646065,72.83595146460647
147,0,1,13,103.131,85,7.95,575.0,0,1,0,0,0,0,563.3156116565755,-11.68438834342453
148,0,1,40,21.618,29,3.23,471.5,0,0,0,1,0,0,626.7819349698351,155.2819349698351
149,0,1,13,103.131,85,7.95,832.0,0,1,0,0,0,0,563.3156116565755,-268.68438834342453
150,1,1,40,132.799,114,14.98,667.0,0,0,0,1,0,0,1098.4993830181725,431.49938301817247
151,0,1,30,64.833,53,9.45,768.2,0,0,1,0,0,0,637.7549607800851,-130.44503921991497
152,0,1,100,44.544,41,5.08,1458.2,0,0,0,0,1,1,1463.8296251452362,5.629625145236105
153,0,1,50,69.759,64,10.52,931.5,0,0,0,0,0,1,887.8720837660898,-43.62791623391024
154,0,0,12,7.664,13,0.22,333.5,0,1,0,0,0,0,393.88634118608877,60.38634118608877
155,0,1,29,34.992,39,4.07,600.53,0,0,1,0,0,0,578.2642470762024,-22.26575292379755
156,0,1,20,210.873,166,12.37,1096.0,0,1,0,0,0,0,981.8266961048888,-114.17330389511119
157,0,1,30,6.686,14,6.12,535.9,0,0,1,0,0,0,498.22302860684647,-37.67697139315351
158,0,1,16,36.925,43,8.1,786.49,0,1,0,0,0,0,574.1735368694593,-212.31646313054068
159,0,1,13,103.131,85,7.95,1087.09,0,1,0,0,0,0,563.3156116565755,-523.7743883434244
160,0,1,53,45.667,56,48.48,784.3,0,0,0,0,0,1,1379.0022060478173,594.7022060478173
161,0,1,26,39.869,45,4.87,460.0,0,0,1,0,0,0,580.3718798368012,120.37187983680121
162,0,1,10,731.44,558,76.6,2139.0,1,0,0,0,0,0,2547.730162176124,408.73016217612394
