Trip Number,Purpose,Vehicle class,Trip type,Passengers,Date of enquiry,Leg 1 start date,Distance in kms,Travel time minutes,Total time elapsed(hours),Trip starts before 7 am,Trip ends after 6pm,Supplier id,Supplier Quote(including GST),Total google distance to the closest depot,Closest depot,Closest city id,Closest city Google distance(km)
#020720212,Other,Budget,Return,30,07/02/2021,20/08/2021,53.905,54,48.45,No,No,301,320,68,777,432,6.5
#020620212,Wedding,Standard,Return,45,06/02/2021,26/02/2021,17.524,18,9.38,No,Yes,308,747.5,6,701,429,7.1
#020520219,Other,Standard,One Way,50,05/02/2021,27/03/2021,23.508,23,0.38,No,No,223,926.9,26,747,437,3.5
#020520215,Wedding,Standard,Return,7,05/02/2021,25/07/2021,980.241,715,73.93,No,No,349,2875,20,870,461,5.3
#020520216,Hen or Stag Do,Standard,Return,15,05/02/2021,27/03/2021,78.803,62,5.75,No,Yes,211,499,24,773,426,19.0
#020520213,School Trip,Budget,Return,260,05/02/2021,24/02/2021,61.656,63,5.27,No,No,326,3680,76,745,426,16.8
#020520213,School Trip,Budget,Return,260,05/02/2021,24/02/2021,61.656,63,5.27,No,No,317,2611.58,4,695,426,16.8
#020420219,Sports Game,Standard,Return,30,04/02/2021,28/05/2021,794.061,597,45,No,No,325,3894.48,4,742,455,1.0
#020420218,School Trip,Standard,Return,142,04/02/2021,15/02/2021,208.588,152,30.77,No,No,343,4805,12,758,452,3.4
#020420217,Other,Budget,Return,53,04/02/2021,01/04/2021,316.365,244,94,No,No,326,2375.9,84,745,506,20.8
#020420217,Other,Budget,Return,53,04/02/2021,01/04/2021,316.365,244,94,No,No,192,2250,26,772,506,20.8
#020420216,Other,Budget,Return,35,04/02/2021,01/04/2021,997.463,737,102.9,No,Yes,323,5848.9,28,740,432,10.6
#020420214,Club or Society,Budget,Return,30,04/02/2021,01/04/2021,316.536,250,94.1,No,No,323,2180.4,18,740,432,5.0
#020420211,Other,Standard,Return,60,04/02/2021,05/11/2022,135.753,108,11.65,No,No,315,2331,4,722,438,0.0
#020320218,Tour,Luxury,One Way,45,03/02/2021,25/03/2021,642.692,469,7.82,No,No,326,4455.1,656,745,432,0.0
#020320218,Tour,Luxury,One Way,45,03/02/2021,25/03/2021,642.692,469,7.82,No,No,230,6417,1506,754,432,0.0
#020320217,Corporate Event,Standard,Return,50,03/02/2021,10/03/2021,225.047,165,32.37,No,No,326,1642.2,8,745,426,26.9
#020320217,Corporate Event,Standard,Return,50,03/02/2021,10/03/2021,225.047,165,32.37,No,No,211,1500,18,773,426,26.9
#020320217,Corporate Event,Standard,Return,50,03/02/2021,10/03/2021,225.047,165,32.37,No,No,192,1675,116,772,426,26.9
#020320216,Other,Standard,Return,45,03/02/2021,01/04/2021,604.813,482,105.47,No,No,341,3509.8,124,829,451,1.4
#020320213,Corporate Event,Budget,Return,50,03/02/2021,26/03/2021,150.869,121,9,No,No,352,881.19,6,764,455,0.3
#020320213,Corporate Event,Budget,Return,50,03/02/2021,26/03/2021,150.869,121,9,No,No,325,845.25,4,742,455,0.3
#020320211,Other,Budget,One Way,14,03/02/2021,13/03/2021,33.035,30,0.5,No,Yes,341,300,135,828,506,1.9
#020220214,Hen or Stag Do,Standard,One Way,20,02/02/2021,13/02/2021,33.362,29,0.48,No,Yes,211,402.5,37,773,533,9.4
#020220214,Hen or Stag Do,Standard,One Way,20,02/02/2021,13/02/2021,33.362,29,0.48,No,Yes,192,345,96,772,533,9.4
#020220213,Business Travel,Luxury,One Way,40,02/02/2021,19/02/2021,56.5,48,0.8,No,No,349,575,908,870,429,0.3
#020220213,Business Travel,Luxury,One Way,40,02/02/2021,19/02/2021,56.5,48,0.8,No,No,308,747.5,57,701,429,0.3
#020120213,Wedding,Standard,Return,45,01/02/2021,26/02/2022,48.212,53,8.93,No,Yes,343,900,16,758,452,5.4
#013120211,Wedding,Standard,Return,90,31/01/2021,04/12/2021,46.408,51,10.17,No,Yes,251,1075.25,0,770,443,6.1
#020120212,Wedding,Budget,Return,18,01/02/2021,12/02/2021,14.975,12,9.35,No,Yes,354,470,24,725,524,7.0
#020120212,Wedding,Budget,Return,18,01/02/2021,12/02/2021,14.975,12,9.35,No,Yes,331,475,22,748,524,7.0
#020120212,Wedding,Budget,Return,18,01/02/2021,12/02/2021,14.975,12,9.35,No,Yes,223,320,6,746,524,7.0
#020120211,Tour,Standard,One Way,20,01/02/2021,15/05/2021,5.65,14,0.23,No,No,310,250,6,696,436,2.3
#012820214,Corporate Event,Budget,Return,70,28/01/2021,26/02/2021,24.316,27,3.23,No,Yes,323,1278.8,10,740,432,0.9
#012920213,Business Travel,Standard,Return,11,29/01/2021,12/02/2021,39.342,40,5.08,No,Yes,312,130,14,698,512,2.9
#012920211,Other,Budget,Return,18,29/01/2021,21/03/2021,77.889,64,5.53,No,Yes,311,560,2,703,449,0.6
#012820218,Other,Standard,Return,26,28/01/2021,20/02/2021,110.013,93,9.78,No,Yes,309,805,6,702,461,5.9
#012120215,Wedding,Luxury,Return,50,21/01/2021,14/01/2022,93.632,77,10.38,No,No,314,741,6,714,452,2.9
#012820216,Airport Transfer,Budget,Return,30,28/01/2021,06/03/2021,364.675,270,203.75,No,Yes,308,2235,368,701,557,2.7
#012820216,Airport Transfer,Budget,Return,30,28/01/2021,06/03/2021,364.675,270,203.75,No,Yes,270,2400,374,851,557,2.7
#012820215,Corporate Event,Standard,One Way,50,28/01/2021,24/02/2021,5.095,8,0.13,No,No,211,300,44,773,426,0.2
#012820215,Corporate Event,Standard,One Way,50,28/01/2021,24/02/2021,5.095,8,0.13,No,No,192,400,70,772,426,0.2
#012820213,Club or Society,Standard,Return,18,28/01/2021,06/03/2021,25.505,34,11.28,No,Yes,343,700,14,758,452,8.3
#012820213,Club or Society,Standard,Return,18,28/01/2021,06/03/2021,25.505,34,11.28,No,Yes,314,632,14,714,452,8.3
#012820211,Other,Standard,Return,60,28/01/2021,26/06/2021,98.345,90,5.73,No,No,326,1334,40,745,533,12.3
#012820211,Other,Standard,Return,60,28/01/2021,26/06/2021,98.345,90,5.73,No,No,317,538.97,88,694,533,12.3
#012820211,Other,Standard,Return,60,28/01/2021,26/06/2021,98.345,90,5.73,No,No,211,678.5,22,773,533,12.3
#012820211,Other,Standard,Return,60,28/01/2021,26/06/2021,98.345,90,5.73,No,No,192,890,124,772,533,12.3
#012720218,Wedding,Budget,Return,16,27/01/2021,12/05/2021,25.771,29,9.48,No,Yes,308,747.5,14,701,429,1.6
#012720218,Wedding,Budget,Return,16,27/01/2021,12/05/2021,25.771,29,9.48,No,Yes,270,390,0,851,429,1.6
#012720217,Wedding,Standard,Return,70,27/01/2021,27/11/2021,68.862,54,8.7,No,Yes,310,1752,116,696,479,39.1
#012720211,Sports Game,Standard,One Way,60,27/01/2021,08/12/2021,115.553,90,1.5,No,No,326,1002.8,119,745,426,27.1
#012720211,Sports Game,Standard,One Way,60,27/01/2021,08/12/2021,115.553,90,1.5,No,No,317,1236.77,170,694,426,27.1
#012720211,Sports Game,Standard,One Way,60,27/01/2021,08/12/2021,115.553,90,1.5,No,No,211,1990,114,773,426,27.1
#012720211,Sports Game,Standard,One Way,60,27/01/2021,08/12/2021,115.553,90,1.5,No,No,192,2110,215,772,426,27.1
#012620215,Wedding,Luxury,Return,14,26/01/2021,12/05/2021,25.771,29,9.73,No,Yes,308,747.5,14,701,429,1.6
#012620214,Corporate Event,Luxury,Return,20,26/01/2021,22/02/2021,357.596,277,58.32,No,Yes,352,1325.09,4,764,455,0.0
#012120215,Wedding,Luxury,Return,50,21/01/2021,14/01/2022,93.632,77,10.38,No,No,343,1325,8,758,452,2.9
#012620213,Corporate Event,Budget,One Way,25,26/01/2021,13/02/2021,13.869,11,0.18,No,No,323,281.75,28,740,487,1.5
#012020216,Club or Society,Budget,One Way,100,20/01/2021,07/05/2021,11.778,20,0.33,No,No,323,1458.2,13,740,432,4.2
#012520216,Wedding,Standard,Return,50,25/01/2021,30/10/2021,78.737,79,10.15,No,Yes,343,670,6,758,452,1.8
#012520212,Business Travel,Luxury,Return,14,25/01/2021,02/02/2021,60.605,52,6.17,No,No,343,450,20,758,529,8.7
#012520215,Wedding,Budget,Return,9,25/01/2021,06/02/2021,89.694,70,10.58,No,No,343,650,6,758,452,3.4
#012520214,Wedding,Budget,Return,30,25/01/2021,05/02/2022,165.405,139,23.13,No,No,251,1385.75,14,770,443,2.2
#012320212,Other,Budget,One Way,50,23/01/2021,09/04/2021,66.429,69,5.58,No,No,326,736,20,745,426,18.3
#012320212,Other,Budget,One Way,50,23/01/2021,09/04/2021,66.429,69,5.58,No,No,192,895,100,772,426,18.3
#012220214,Wedding,Standard,Return,50,22/01/2021,12/11/2021,88.55,70,10.83,No,No,343,1050,10,758,452,4.3
#012220211,Hen or Stag Do,Budget,One Way,23,22/01/2021,27/02/2021,37.846,35,0.58,No,Yes,326,356.5,49,745,533,17.4
#012220211,Hen or Stag Do,Budget,One Way,23,22/01/2021,27/02/2021,37.846,35,0.58,No,Yes,192,405,89,772,533,17.4
#012120216,Other,Budget,Return,35,21/01/2021,26/01/2021,165.183,151,76.73,No,No,326,1276.5,30,745,426,4.4
#012120216,Other,Budget,Return,35,21/01/2021,26/01/2021,165.183,151,76.73,No,No,317,1521.55,30,694,426,4.4
#012120216,Other,Budget,Return,35,21/01/2021,26/01/2021,165.183,151,76.73,No,No,192,1145,76,772,426,4.4
#012120212,Business Travel,Standard,Return,46,21/01/2021,27/01/2021,407.376,331,11.82,No,Yes,351,1842.19,16,765,540,13.7
#012120214,Hen or Stag Do,Budget,Return,22,21/01/2021,13/02/2021,136.925,121,9.5,No,No,223,1228.58,138,747,532,28.3
#012120211,Corporate Event,Standard,One Way,45,21/01/2021,27/02/2021,10.989,9,0.15,No,No,223,250,11,746,502,6.2
#012020215,Other,Budget,Return,21,20/01/2021,25/01/2021,222.548,186,9.55,No,Yes,343,880,10,758,452,3.3
#012020211,Hen or Stag Do,Standard,Return,12,20/01/2021,03/12/2021,158.848,137,72.65,No,No,323,1094.8,12,740,432,1.6
#011920217,Wedding,Standard,Return,22,19/01/2021,27/02/2021,93.157,91,10.48,No,No,326,690,50,745,426,1.8
#011920217,Wedding,Standard,Return,22,19/01/2021,27/02/2021,93.157,91,10.48,No,No,211,680,48,773,426,1.8
#011920217,Wedding,Standard,Return,22,19/01/2021,27/02/2021,93.157,91,10.48,No,No,192,935,66,772,426,1.8
#011920213,Business Travel,Standard,Return,20,19/01/2021,10/02/2021,26.249,27,4.73,No,No,351,542.8,24,765,517,11.6
#011920211,Concert,Luxury,Return,7,19/01/2021,13/02/2021,58.273,64,6.27,No,Yes,326,586.5,66,745,426,11.6
#011920211,Concert,Luxury,Return,7,19/01/2021,13/02/2021,58.273,64,6.27,No,Yes,317,535.46,18,695,426,11.6
#011920211,Concert,Luxury,Return,7,19/01/2021,13/02/2021,58.273,64,6.27,No,Yes,192,680,50,772,426,11.6
#0118202113,Sports Game,Standard,Return,52,18/01/2021,02/04/2021,289.195,236,82.47,No,Yes,323,8152.35,4,740,432,6.5
#011820217,Hen or Stag Do,Budget,One Way,23,18/01/2021,30/01/2021,8.588,13,0.22,No,Yes,326,276,37,745,426,8.1
#011820217,Hen or Stag Do,Budget,One Way,23,18/01/2021,30/01/2021,8.588,13,0.22,No,Yes,317,431.25,40,695,426,8.1
#011820217,Hen or Stag Do,Budget,One Way,23,18/01/2021,30/01/2021,8.588,13,0.22,No,Yes,192,385,73,772,426,8.1
#011820215,Business Travel,Budget,Return,12,18/01/2021,11/02/2021,164.85,142,7.18,No,No,323,634.8,8,740,432,1.0
#011520214,Wedding,Standard,Return,40,15/01/2021,18/03/2021,35.984,41,9.08,No,Yes,231,693,4,797,436,1.9
#011820212,Hen or Stag Do,Budget,One Way,20,18/01/2021,27/03/2021,23.578,27,0.45,No,No,323,273.7,32,740,487,8.3
#011520218,Club or Society,Luxury,Return,20,15/01/2021,30/01/2021,1.596,6,32.05,No,No,323,3154.45,4,740,432,6.8
#011720214,Other,Budget,One Way,30,17/01/2021,06/03/2021,17.31,18,0.3,No,Yes,319,350.75,23,735,461,21.4
#011720213,Concert,Budget,One Way,25,17/01/2021,06/02/2021,10.953,11,0.18,No,No,318,805,209,693,459,5.7
#011720212,Christmas Party,Standard,Return,55,17/01/2021,26/01/2021,71.934,65,8.3,No,No,323,931.5,8,740,432,0.7
#011620216,Hen or Stag Do,Budget,One Way,15,16/01/2021,23/01/2021,5.655,9,0.15,No,No,326,253,36,745,426,5.1
#011620215,Hen or Stag Do,Budget,Return,12,16/01/2021,13/02/2021,105.801,90,7.48,No,No,352,561.78,4,764,455,3.6
#011620215,Hen or Stag Do,Budget,Return,12,16/01/2021,13/02/2021,105.801,90,7.48,No,No,325,500.25,4,742,455,3.6
#011620214,Wedding,Budget,Return,20,16/01/2021,27/11/2021,81.485,74,10.87,No,No,343,630,6,758,452,2.3
#011620214,Wedding,Budget,Return,20,16/01/2021,27/11/2021,81.485,74,10.87,No,No,314,727,4,714,452,2.3
#011620211,Family Trip,Budget,Return,15,16/01/2021,26/01/2021,17.621,25,70.2,No,No,322,475,4,736,429,8.8
#011620211,Family Trip,Budget,Return,15,16/01/2021,26/01/2021,17.621,25,70.2,No,No,308,517.5,4,701,429,8.8
#011520219,Family Trip,Budget,Return,50,15/01/2021,10/04/2021,82.111,76,9.63,No,No,343,700,8,758,452,4.7
#011520219,Family Trip,Budget,Return,50,15/01/2021,10/04/2021,82.111,76,9.63,No,No,314,727,8,714,452,4.7
#011520217,Wedding,Standard,Return,60,15/01/2021,25/11/2021,77.336,79,9.9,No,Yes,343,1260,8,758,452,3.3
#011520217,Wedding,Standard,Return,60,15/01/2021,25/11/2021,77.336,79,9.9,No,Yes,314,712,6,714,452,3.3
#011520216,Family Trip,Budget,Return,43,15/01/2021,04/02/2021,44.492,61,7,No,Yes,326,483,46,745,426,21.0
#011520216,Family Trip,Budget,Return,43,15/01/2021,04/02/2021,44.492,61,7,No,Yes,192,855,106,772,426,21.0
#011520215,Sports Game,Budget,Return,35,15/01/2021,13/03/2021,428.097,307,51.57,No,No,326,2869.25,36,745,426,14.7
#011520215,Sports Game,Budget,Return,35,15/01/2021,13/03/2021,428.097,307,51.57,No,No,317,3900.26,60,694,426,14.7
#011520214,Wedding,Standard,Return,40,15/01/2021,18/03/2021,35.984,41,9.08,No,Yes,310,580,6,696,436,1.9
#011520213,Wedding,Standard,Return,8,15/01/2021,06/02/2021,95.803,83,10.52,No,No,343,550,12,758,529,5.8
#011520213,Wedding,Standard,Return,8,15/01/2021,06/02/2021,95.803,83,10.52,No,No,314,632,16,714,529,5.8
#011520212,Other,Budget,Return,24,15/01/2021,06/03/2021,217.908,160,10.33,No,Yes,343,910,38,758,458,0.8
#011420211,Hen or Stag Do,Luxury,One Way,16,14/01/2021,13/02/2021,4.557,13,0.22,No,Yes,326,276,38,745,426,3.5
#011420211,Hen or Stag Do,Luxury,One Way,16,14/01/2021,13/02/2021,4.557,13,0.22,No,Yes,193,327.75,49,756,426,3.5
#011420211,Hen or Stag Do,Luxury,One Way,16,14/01/2021,13/02/2021,4.557,13,0.22,No,Yes,192,395,69,772,426,3.5
#011320214,Other,Budget,Return,25,13/01/2021,04/03/2021,101.458,80,10.42,No,No,352,710.41,4,764,455,1.1
#011320213,Other,Standard,One Way,45,13/01/2021,30/01/2021,11.062,16,0.27,No,Yes,326,448.5,37,745,426,10.1
#011320213,Other,Standard,One Way,45,13/01/2021,30/01/2021,11.062,16,0.27,No,Yes,317,542.225,42,695,426,10.1
#011320213,Other,Standard,One Way,45,13/01/2021,30/01/2021,11.062,16,0.27,No,Yes,211,400,41,773,426,10.1
#011320213,Other,Standard,One Way,45,13/01/2021,30/01/2021,11.062,16,0.27,No,Yes,192,435,73,772,426,10.1
#011320212,School Trip,Budget,Return,75,13/01/2021,19/02/2021,29.743,35,3.78,No,No,326,897,30,745,426,11.9
#011320212,School Trip,Budget,Return,75,13/01/2021,19/02/2021,29.743,35,3.78,No,No,192,1265,86,772,426,11.9
#011320211,Wedding,Standard,Return,100,13/01/2021,19/11/2021,111.171,92,10.77,No,No,193,1713.5,0,757,461,1.0
#011220218,Wedding,Budget,Return,30,12/01/2021,23/03/2021,98.043,87,10.98,No,Yes,326,828,48,745,426,1.7
#011220218,Wedding,Budget,Return,30,12/01/2021,23/03/2021,98.043,87,10.98,No,Yes,192,975,72,772,426,1.7
#011120216,Family Trip,Budget,Return,20,11/01/2021,06/03/2021,167.325,128,6.8,No,No,343,675,8,758,529,6.8
#011220217,Wedding,Budget,Return,80,12/01/2021,10/04/2021,60.373,60,10.33,No,No,343,1580,46,758,476,0.0
#011220217,Wedding,Budget,Return,80,12/01/2021,10/04/2021,60.373,60,10.33,No,No,314,1496,48,718,476,0.0
#010820214,Wedding,Standard,Return,60,08/01/2021,25/11/2021,69.739,66,9.53,No,Yes,343,1130,8,758,529,6.8
#011020212,Wedding,Luxury,One Way,18,10/01/2021,25/10/2021,14.621,16,0.27,No,No,223,320,19,746,547,1.2
#010820211,Wedding,Standard,Return,110,08/01/2021,21/11/2021,66.1,56,9.47,No,No,343,2310,52,758,453,1.1
#010820212,Wedding,Luxury,Return,50,08/01/2021,03/04/2021,49.783,40,9.33,No,Yes,343,700,46,758,476,0.4
#011220216,Hen or Stag Do,Budget,Return,13,12/01/2021,30/01/2021,71.257,64,3.05,No,No,323,584.2,12,740,432,2.2
#011120213,Concert,Standard,One Way,50,11/01/2021,23/01/2021,28.124,24,0.4,No,Yes,223,420,28,746,467,14.3
#011020213,Wedding,Standard,Return,40,10/01/2021,17/04/2021,34.378,29,8.73,No,Yes,343,800,122,758,486,0.4
#011220215,Family Trip,Standard,Return,30,12/01/2021,08/05/2021,19.437,38,9.82,No,No,323,535.9,12,740,432,1.6
#011220213,Wedding,Budget,Return,44,12/01/2021,27/02/2021,48.017,54,9.67,No,No,318,1150,196,693,550,1.5
#011220212,Wedding,Standard,One Way,30,12/01/2021,27/04/2021,23.158,21,0.35,No,No,323,499.1,152,740,465,0.0
#011220212,Wedding,Standard,One Way,30,12/01/2021,27/04/2021,23.158,21,0.35,No,No,236,310.5,36,776,465,0.0
#011220211,Other,Budget,Return,30,12/01/2021,11/01/2021,37.119,44,1650.85,Yes,Yes,317,627.88,18,695,506,19.4
#011220211,Other,Budget,Return,30,12/01/2021,11/01/2021,37.119,44,1650.85,Yes,Yes,192,685,24,772,506,19.4
#0111202111,Family Trip,Budget,Return,30,11/01/2021,23/10/2021,144.945,124,11.03,No,Yes,343,850,16,758,452,5.0
#0111202111,Family Trip,Budget,Return,30,11/01/2021,23/10/2021,144.945,124,11.03,No,Yes,314,859.5,6,715,452,5.0
#0111202110,Other,Budget,Return,50,11/01/2021,06/02/2021,69.157,73,7.87,No,Yes,326,920,44,745,426,21.6
#0111202110,Other,Budget,Return,50,11/01/2021,06/02/2021,69.157,73,7.87,No,Yes,317,1157.89,74,695,426,21.6
#0111202110,Other,Budget,Return,50,11/01/2021,06/02/2021,69.157,73,7.87,No,Yes,192,1290,106,772,426,21.6
#011120215,Educational Trip,Budget,Return,50,11/01/2021,18/02/2021,13.033,29,2.73,No,No,323,729.1,12,740,432,1.2
#011120215,Educational Trip,Budget,Return,50,11/01/2021,18/02/2021,13.033,29,2.73,No,No,301,400,56,777,432,1.2
#011120215,Educational Trip,Budget,Return,50,11/01/2021,18/02/2021,13.033,29,2.73,No,No,236,261,18,774,432,1.2
#011120216,Family Trip,Budget,Return,20,11/01/2021,06/03/2021,167.325,128,6.8,No,No,314,810,12,714,529,6.8
#011120212,Hen or Stag Do,Budget,Return,16,11/01/2021,23/01/2021,101.484,121,10,No,Yes,318,895,106,693,528,8.8
#010920211,Other,Budget,One Way,30,09/01/2021,27/02/2021,49.606,36,0.6,No,Yes,310,580,112,696,436,29.8
#010720212,Wedding,Budget,One Way,50,07/01/2021,18/12/2021,52.344,43,0.72,No,No,343,500,53,758,479,5.8
#010720213,Wedding,Luxury,Return,150,07/01/2021,26/03/2021,20.416,23,7.18,No,Yes,318,1125,12,693,451,2.7
#010620211,Hen or Stag Do,Budget,One Way,14,06/01/2021,09/04/2021,477.126,348,5.8,No,No,309,3507.5,487,702,461,7.9
#010520213,Other,Standard,Return,22,05/01/2021,04/09/2021,308.04,227,14.93,No,Yes,343,1780,18,758,529,2.4
#010520213,Other,Standard,Return,22,05/01/2021,04/09/2021,308.04,227,14.93,No,Yes,314,1456,22,714,529,2.4
#010820214,Wedding,Standard,Return,60,08/01/2021,25/11/2021,69.739,66,9.53,No,Yes,314,712,12,714,529,6.8
#010820212,Wedding,Luxury,Return,50,08/01/2021,03/04/2021,49.783,40,9.33,No,Yes,314,869.4,48,718,476,0.4
#010720212,Wedding,Budget,One Way,50,07/01/2021,18/12/2021,52.344,43,0.72,No,No,314,618.125,81,717,479,5.8
#010520212,Concert,Budget,Return,16,05/01/2021,16/01/2021,100.931,104,9.37,No,Yes,308,920,18,701,429,0.1
#010420212,School Trip,Budget,Return,18,04/01/2021,20/01/2021,46.139,52,6.18,No,No,326,379.5,40,745,426,19.8
#010420212,School Trip,Budget,Return,18,04/01/2021,20/01/2021,46.139,52,6.18,No,No,317,485.47,70,695,426,19.8
#010420212,School Trip,Budget,Return,18,04/01/2021,20/01/2021,46.139,52,6.18,No,No,192,600,102,772,426,19.8
#122220201,Other,Budget,Return,60,22/12/2020,20/02/2021,115.029,95,1440.28,No,No,323,1890.6,12,740,432,1.6
#122120204,Wedding,Standard,Return,60,21/12/2020,05/02/2021,58.266,79,10.17,No,No,317,911.57,28,694,426,13.4
#122020201,Other,Standard,One Way,22,20/12/2020,09/01/2021,29.238,35,0.58,No,No,326,454.25,81,745,426,18.0
#121920202,Sports Game,Standard,Return,52,19/12/2020,02/04/2021,279.049,219,73.83,No,No,323,2114.85,14,740,432,3.6
#121920202,Sports Game,Standard,Return,52,19/12/2020,02/04/2021,279.049,219,73.83,No,No,236,2237,14,774,432,3.6
#120520201,Concert,Budget,Return,25,05/12/2020,30/01/2021,6.882,12,12.08,No,Yes,223,405.95,6,747,485,2.3
#112620205,Club or Society,Budget,Return,26,26/11/2020,26/02/2021,235.467,234,8773.95,Yes,Yes,317,2296.16,54,694,426,40.2
#120520201,Concert,Budget,Return,25,05/12/2020,30/01/2021,6.882,12,12.08,No,Yes,331,335,4,749,485,2.3
#120820203,Sports Game,Standard,Return,20,08/12/2020,04/06/2021,495.899,391,72.22,No,No,193,2880.75,12,757,461,6.5
#121820201,Family Trip,Budget,Return,11,18/12/2020,01/01/2021,57.314,77,8.65,No,Yes,317,978.77,28,694,426,15.2
#121720201,Concert,Budget,One Way,30,17/12/2020,27/12/2020,76.264,71,1.18,No,No,326,1417.95,118,745,426,2.6
#121620207,Concert,Budget,Return,16,16/12/2020,09/01/2021,19.765,24,10.18,No,Yes,331,632.5,16,748,502,5.2
#121620207,Concert,Budget,Return,16,16/12/2020,09/01/2021,19.765,24,10.18,No,Yes,223,800,22,746,502,5.2
#121620203,Christmas Party,Budget,Return,17,16/12/2020,21/12/2020,46.172,46,3.88,No,No,323,399,12,740,432,1.1
#121620202,Concert,Budget,One Way,30,16/12/2020,30/12/2020,24.494,26,0.43,No,No,315,900,27,722,438,14.2
#121420202,Christmas Party,Budget,Return,30,14/12/2020,19/12/2020,37.721,41,4.83,No,Yes,323,399,46,740,487,2.9
#121520204,Christmas Party,Luxury,Return,10,15/12/2020,18/12/2020,147.536,130,7.08,No,Yes,310,550,4,696,436,1.7
#121420201,Sports Game,Luxury,Return,45,14/12/2020,25/01/2021,999.336,736,183.17,No,Yes,323,9743.95,8,740,432,1.7
#121420203,School Trip,Standard,Return,45,14/12/2020,04/03/2021,999.129,736,87.15,No,Yes,323,6924.61,8,740,432,1.9
#121520202,Business Travel,Standard,Return,40,15/12/2020,02/01/2021,828.871,605,55.08,No,No,325,4372.3,10,742,455,3.8
#1214202010,Business Travel,Luxury,One Way,30,14/12/2020,24/03/2021,97.504,67,1.12,No,No,211,1800,100,773,426,6.4
#121420208,Airport Transfer,Standard,One Way,32,14/12/2020,28/01/2021,7.711,15,0.25,No,No,236,203,23,774,432,1.5
#120420203,Christmas Party,Budget,Return,13,04/12/2020,18/12/2020,251.049,206,5.97,No,No,325,324.3,246,742,534,1.8
#120120209,Wedding,Standard,Return,35,01/12/2020,12/02/2021,116.567,92,10.52,No,No,325,729.1,4,742,455,0.3
#120920201,Christmas Party,Budget,Return,19,09/12/2020,18/12/2020,37.763,47,5.38,No,No,251,362.25,28,770,443,8.7
#121420206,Corporate Event,Budget,One Way,40,14/12/2020,31/12/2020,30.519,27,0.45,No,Yes,315,400,39,722,438,30.0
#121420207,Christmas Party,Standard,Return,20,14/12/2020,18/12/2020,13.533,25,3.68,No,No,192,400,66,772,426,1.7
#121320202,Wedding,Budget,Return,15,13/12/2020,27/12/2020,21.06,20,3.67,No,No,315,500,8,722,438,4.5
#121120206,Corporate Event,Budget,One Way,40,11/12/2020,23/12/2020,138.977,114,1.9,No,No,310,1120,143,696,436,1.3
#121120205,Christmas Party,Budget,Return,100,11/12/2020,19/12/2021,34.441,31,7,No,No,322,1375,2,736,429,8.6
#121120205,Christmas Party,Budget,Return,100,11/12/2020,19/12/2021,34.441,31,7,No,No,311,1350,546,703,429,8.6
#121120204,Christmas Party,Budget,One Way,20,11/12/2020,18/12/2020,7.713,14,0.23,No,No,317,293.25,37,695,426,2.0
#121120204,Christmas Party,Budget,One Way,20,11/12/2020,18/12/2020,7.713,14,0.23,No,No,192,325,70,772,426,2.0
#121120203,Christmas Party,Budget,One Way,20,11/12/2020,18/12/2020,23.282,27,0.45,No,No,236,262,27,774,487,0.6
#121120202,Family Trip,Budget,Return,40,11/12/2020,28/01/2021,44.1,58,5.98,No,Yes,211,490,28,773,426,21.0
#121120202,Family Trip,Budget,Return,40,11/12/2020,28/01/2021,44.1,58,5.98,No,Yes,192,675,106,772,426,21.0
#121020202,Other,Budget,Return,73,10/12/2020,21/12/2020,88.548,87,4.72,No,No,343,1140,22,758,529,2.4
#121020202,Other,Budget,Return,73,10/12/2020,21/12/2020,88.548,87,4.72,No,No,314,1050,24,714,529,2.4
#121020201,Family Trip,Budget,Return,16,10/12/2020,08/01/2021,826.791,607,60.08,No,Yes,192,3420,102,772,426,19.3
#120920203,Airport Transfer,Luxury,Return,40,09/12/2020,04/09/2021,504.379,382,4.92,No,No,322,2415,4,736,429,8.8
#120920203,Airport Transfer,Luxury,Return,40,09/12/2020,04/09/2021,504.379,382,4.92,No,No,308,2127.5,4,701,429,8.8
#120920203,Airport Transfer,Luxury,Return,40,09/12/2020,04/09/2021,504.379,382,4.92,No,No,230,2612,16,755,429,8.8
#120220208,Hen or Stag Do,Budget,Return,35,02/12/2020,30/01/2021,328.831,281,32.32,Yes,No,318,2100,8,693,451,0.4
#120720201,Other,Budget,Return,100,07/12/2020,30/01/2021,51.097,54,31.95,No,Yes,211,1500,24,773,533,18.4
#120720201,Other,Budget,Return,100,07/12/2020,30/01/2021,51.097,54,31.95,No,Yes,192,1800,126,772,533,18.4
#120620202,Wedding,Budget,Return,40,06/12/2020,13/03/2021,48.645,50,8.92,No,Yes,192,725,66,772,426,0.5
#120620201,Family Trip,Standard,Return,36,06/12/2020,27/12/2020,719.316,520,78.27,No,No,192,4645,68,772,426,2.4
#120320205,Hen or Stag Do,Budget,Return,10,03/12/2020,30/01/2021,48.174,56,5.47,No,No,211,600,68,773,426,18.2
#120320205,Hen or Stag Do,Budget,Return,10,03/12/2020,30/01/2021,48.174,56,5.47,No,No,192,615,82,772,426,18.2
#120420202,Wedding,Budget,Return,50,04/12/2020,20/02/2021,137.537,129,11.05,No,Yes,192,1035,62,772,426,1.9
