,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
120,1,1,50,37.309,46,3.12,720.0,0,0,0,0,0,1,678.560791015625,-41.439208984375
121,0,1,30,160.203,117,8.22,950.0,0,0,1,0,0,0,907.6971435546875,-42.3028564453125
122,0,1,18,51.012,49,4.38,552.0,0,1,0,0,0,0,384.7454528808594,-167.25454711914062
123,0,0,31,22.438,19,0.32,535.0,0,0,1,0,0,0,365.3328857421875,-169.6671142578125
124,1,1,30,120.073,103,6.37,402.5,0,0,1,0,0,0,974.4981689453125,571.9981689453125
125,0,1,33,111.31,95,12.82,830.99,0,0,1,0,0,0,988.1166381835938,157.12663818359374
126,0,1,198,11.417,22,5.43,1990.0,0,0,0,1,0,3,1663.318115234375,-326.681884765625
127,0,1,40,64.219,62,12.52,644.0,0,0,0,1,0,0,958.45556640625,314.45556640625
128,0,1,40,943.806,748,36.73,3950.0,0,0,0,1,0,0,4066.59326171875,116.59326171875
129,0,0,40,6.089,14,0.23,319.7,0,0,0,1,0,0,449.4091491699219,129.7091491699219
130,0,1,60,18.7,34,2.78,747.5,1,0,0,0,0,1,784.75732421875,37.25732421875
131,0,1,19,45.889,49,7.15,644.0,0,1,0,0,0,0,468.0462341308594,-175.95376586914062
132,0,0,30,196.029,141,2.35,1351.25,0,0,1,0,0,0,1470.794189453125,119.544189453125
133,1,1,30,103.356,88,9.68,3139.0,0,0,1,0,0,0,1055.7890625,-2083.2109375
134,0,1,9,134.738,112,14.18,950.0,1,0,0,0,0,0,594.0472412109375,-355.9527587890625
135,0,1,25,116.733,107,5.88,823.4,0,0,1,0,0,0,726.2647094726562,-97.13529052734373
136,0,1,100,436.1230000000001,363,15.02,5200.0,0,0,0,0,1,1,4141.095703125,-1058.904296875
137,0,0,30,42.448,35,0.58,451.0,0,0,1,0,0,0,439.7572326660156,-11.242767333984375
138,0,1,12,320.758,229,60.9,1721.55,0,1,0,0,0,0,1419.939453125,-301.61054687499995
139,0,1,37,112.638,107,6.4,725.0,0,0,0,1,0,0,917.091064453125,192.091064453125
140,1,1,20,131.269,131,10.1,803.0,0,1,0,0,0,0,993.7889404296875,190.7889404296875
141,0,1,23,32.339,43,36.35,520.0,0,1,0,0,0,0,613.6564331054688,93.65643310546875
