,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach
92,0,1,50,46.783,52,10.42,700.0,0,0,0,0,0,1
93,0,1,50,46.783,52,10.42,483.0,0,0,0,0,0,1
94,1,1,25,10.026,23,3.18,419.75,0,0,1,0,0,0
95,0,1,50,46.783,52,10.42,1020.2,0,0,0,0,0,1
96,0,0,20,139.181,112,1.87,793.5,0,1,0,0,0,0
97,0,1,50,46.783,52,10.42,989.0,0,0,0,0,0,1
98,0,0,40,7.907,13,0.22,250.0,0,0,0,1,0,0
99,0,0,23,23.311999999999998,22,0.37,442.75,0,1,0,0,0,0
100,0,1,35,13.784,19,4.4,385.0,0,0,1,0,0,0
101,0,1,35,42.207,45,2.62,488.75,0,0,1,0,0,0
102,0,1,55,54.623999999999995,63,5.02,754.4,1,0,0,0,0,1
103,1,1,6,744.4910000000001,569,57.73,3924.95,1,0,0,0,0,0
104,0,1,17,31.504,36,2.57,802.0,0,1,0,0,0,0
105,0,1,30,308.88,250,13.6,1870.0,0,0,1,0,0,0
106,0,0,10,26.56,23,0.38,160.0,1,0,0,0,0,0
107,0,1,50,1258.19,917,103.58,6391.7,0,0,0,0,0,1
108,0,1,25,15.241,24,3.2,207.0,0,0,1,0,0,0
109,0,1,25,14.692,22,2.68,207.0,0,0,1,0,0,0
110,0,0,60,17.92,20,0.33,400.0,1,0,0,0,0,1
111,0,1,22,45.88,39,4.32,330.0,0,1,0,0,0,0
112,0,1,50,239.77900000000002,178,96.98,2100.0,0,0,0,0,0,1
113,1,1,50,1282.493,942,119.83,7601.5,0,0,0,0,0,1
114,0,1,30,888.788,665,102.53,6965.55,0,0,1,0,0,0
115,0,1,18,51.012,49,4.38,400.0,0,1,0,0,0,0
116,0,1,15,70.44,66,6.05,584.2,0,1,0,0,0,0
117,0,1,60,39.676,36,18.78,631.93,1,0,0,0,0,1
118,0,0,110,3.603,6,0.1,1328.25,1,0,0,0,0,2
119,0,1,19,11.440999999999999,18,6.9,402.5,0,1,0,0,0,0
120,1,1,50,37.309,46,3.12,720.0,0,0,0,0,0,1
121,0,1,30,160.203,117,8.22,950.0,0,0,1,0,0,0
122,0,1,18,51.012,49,4.38,552.0,0,1,0,0,0,0
123,0,0,31,22.438000000000002,19,0.32,535.0,0,0,1,0,0,0
124,1,1,30,120.073,103,6.37,402.5,0,0,1,0,0,0
125,0,1,33,111.31,95,12.82,830.99,0,0,1,0,0,0
126,0,1,198,11.417,22,5.43,1990.0,0,0,0,1,0,3
127,0,1,40,64.219,62,12.52,644.0,0,0,0,1,0,0
128,0,1,40,943.806,748,36.73,3950.0,0,0,0,1,0,0
129,0,0,40,6.0889999999999995,14,0.23,319.7,0,0,0,1,0,0
130,0,1,60,18.7,34,2.78,747.5,1,0,0,0,0,1
131,0,1,19,45.888999999999996,49,7.15,644.0,0,1,0,0,0,0
132,0,0,30,196.02900000000002,141,2.35,1351.25,0,0,1,0,0,0
133,1,1,30,103.35600000000001,88,9.68,3139.0,0,0,1,0,0,0
134,0,1,9,134.738,112,14.18,950.0,1,0,0,0,0,0
135,0,1,25,116.73299999999999,107,5.88,823.4,0,0,1,0,0,0
136,0,1,100,436.12300000000005,363,15.02,5200.0,0,0,0,0,1,1
137,0,0,30,42.448,35,0.58,451.0,0,0,1,0,0,0
138,0,1,12,320.758,229,60.9,1721.55,0,1,0,0,0,0
139,0,1,37,112.63799999999999,107,6.4,725.0,0,0,0,1,0,0
140,1,1,20,131.269,131,10.1,803.0,0,1,0,0,0,0
141,0,1,23,32.339,43,36.35,520.0,0,1,0,0,0,0
142,0,1,34,3.6310000000000002,6,2.03,220.0,0,0,1,0,0,0
143,1,1,30,146.731,116,5.22,651.0,0,0,1,0,0,0
144,0,0,30,47.621,41,0.68,333.5,0,0,1,0,0,0
145,0,1,30,60.995,56,3.97,747.5,0,0,1,0,0,0
146,0,1,20,71.279,62,6.0,489.325,0,1,0,0,0,0
147,0,1,13,103.131,85,7.95,575.0,0,1,0,0,0,0
148,0,1,40,21.618000000000002,29,3.23,471.5,0,0,0,1,0,0
149,0,1,13,103.131,85,7.95,832.0,0,1,0,0,0,0
150,1,1,40,132.799,114,14.98,667.0,0,0,0,1,0,0
151,0,1,30,64.833,53,9.45,768.2,0,0,1,0,0,0
152,0,1,100,44.544,41,5.08,1458.2,0,0,0,0,1,1
153,0,1,50,69.759,64,10.52,931.5,0,0,0,0,0,1
154,0,0,12,7.664,13,0.22,333.5,0,1,0,0,0,0
155,0,1,29,34.992,39,4.07,600.53,0,0,1,0,0,0
156,0,1,20,210.873,166,12.37,1096.0,0,1,0,0,0,0
157,0,1,30,6.686,14,6.12,535.9,0,0,1,0,0,0
158,0,1,16,36.925,43,8.1,786.49,0,1,0,0,0,0
159,0,1,13,103.131,85,7.95,1087.09,0,1,0,0,0,0
160,0,1,53,45.667,56,48.48,784.3,0,0,0,0,0,1
161,0,1,26,39.869,45,4.87,460.0,0,0,1,0,0,0
162,0,1,10,731.44,558,76.6,2139.0,1,0,0,0,0,0
163,0,0,60,5.601,10,0.17,300.0,1,0,0,0,0,1
164,1,1,100,248.71,174,7.45,2530.0,0,0,0,0,1,1
165,0,0,50,56.537,48,0.8,747.5,0,0,0,0,0,1
166,0,0,50,56.537,48,0.8,700.0,0,0,0,0,0,1
167,1,0,14,154.315,117,1.95,1288.0,0,1,0,0,0,0
168,0,1,16,49.864,52,3.92,402.5,0,1,0,0,0,0
169,0,1,16,49.864,52,3.92,395.0,0,1,0,0,0,0
170,0,0,54,1.514,4,0.07,552.0,1,0,0,0,0,1
171,0,0,54,1.514,4,0.07,395.0,1,0,0,0,0,1
